ParcelID,X,Y
09F210400980314,-84.5647964,33.5922012
13 003500050114,-84.4819031,33.6251984
14 003800090230,-84.375,33.6899986
14 009300030493,-84.4057999,33.6757011
14 010500020847,-84.4153976,33.7209015
14 010500110366,-84.4136963,33.7150002
14 013400010520,-84.4372025,33.696701
14 013900030655,-84.4347992,33.7352982
14 014200040881,-84.4345016,33.7619019
14 014900070592,-84.4424973,33.7406006
14 016500060238,-84.4513016,33.6867981
14 019800010093,-84.4694977,33.6939011
14 023500010445,-84.4932022,33.7332993
14 023500010452,-84.492897,33.7332001
14F002500030409,-84.5199966,33.7529984
14F0031  LL0066,-84.5251007,33.7034988
17 024800070199,-84.4661026,33.780201
17 024900050208,-84.475502,33.7854004
